Día;Fecha;Inicio solicitud;Fin solicitud;Cuadrillas;N°;Identificador;Caso;Tipo;Tipo de faena;Sector afectado;Dirección de referencia;Objeto de referencia;Jerarquía de red;Tipo de contexto;ID del contexto;Descripción del trabajo;Resultado;Área solicitante;Solicitante;Área de cobertura;Clientes afectados;Inicio planificado;Fin planificado;Duración planificada;Duración de tareas programadas;Tiempo excedido;Inicio corte real;Fin corte real;Duración corte real;Observaciones;Estado;Circuito de aprobación;Comentarios de cierre
LUNES;2023-01-02;07:00:00;15:15:00;;1;PI-2022-04517;;Permiso de trabajo en AT;Mantenimiento Correctivo;;528 E 146 y 147;190-B-IN-594;;Plan de Mantenimiento;semana 53;a;Normal;Transmisión;Maximiliano Yordaz;;;;;;;;;;;;abierta, en definición (rechazada);Circuito de aprobación normal;
LUNES;2023-01-02;08:30:00;18:00:00;OP-Guardia AT La Plata;2;PI-2022-04539;965778;Permiso de trabajo en AT;Mantenimiento Correctivo;-;RP1 entre 462 y 464 (City Bell);Cno. Belgrano y 462 ;;Ingeniería y Obras;117043;Pueba de paralelos en subida de CUSMT en Belgrano y 462, City Bell.;Normal;Planificación;ismael aguilera;City Bell;0;;;;10:00:00;;;;;mmm;cerrada (hecha);Fuera de plazo;
LUNES;2023-01-02;09:00:00;15:00:00;;3;PI-2022-04543;966114;Permiso de trabajo en MT;Mantenimiento Preventivo;Traza de alimentador.-;528 entre 146 y 145;19016 [190 LA PLATA];[190 LA PLATA];Plan de Mantenimiento;AVISO I0002173;Poda preventiva programada sobre traza de alimentador 19016;Normal;Redes Aéreas;lucrecia heit;San Carlos;0;;;;00:05:00;;;;;TYKT5YK;cerrada (hecha);Fuera de plazo;
MARTES;2023-01-03;08:00:00;14:00:00;;4;PI-2023-00010;966272;Permiso de trabajo en BT;Trabajo solicitado por tercero;;RP15 (Ensenada);TBT50154741;300013T1S1 [300013] / 09635 [096 DIQUE];Solicitud Terceros;I0001438;Corrimiento de 4 metros de poste con subida de casbt por solicitud de municipalidad de Ensenada hacia ;Pendiente;Redes Aéreas;gabriel belardinelli;Ensenada;0;;;;00:06:00;;;;;;abierta, en definición, suspendida (Error de operador);Fuera de plazo;
MARTES;2023-01-03;08:00:00;15:00:00;;5;PI-2022-04546;;Trabajo en proximidad de instalaciones energizadas;Mantenimiento Preventivo;;528 E 146 y 147;190-B-IN-595;;Plan de Mantenimiento;Semana 1- 2023!!!;L. 595: Poda ;Normal;Transmisión;Jose Molteni;;;;;;;;;;;;abierta, en definición, suspendida (Suspendido por Encargado de Trabajo);Fuera de plazo;
MARTES;2023-01-03;08:00:00;16:00:00;;6;PI-2023-00007;;Trabajo en proximidad de instalaciones energizadas;Obra estructural;;601 entre 127 y RP11 (Villa Elvira);199-E-IN-AC12;;Ingeniería y Obras;Obra sección 1 13,2 kV SE Este;Tendido de cables de comando para habilitación de TR 1. Montaje de celdas Sección 1 de 13,2 kV.;Cancelada;Planificación;Pablo Romanini;;;;;;;;;;;;cerrada, cancelada (Error de Operador);Fuera de plazo;
MARTES;2023-01-03;09:00:00;13:00:00;GUARDIA ZONAL 2;7;PI-2023-00006;966313;Trabajo en proximidad de instalaciones energizadas;Mantenimiento Correctivo;No afecta servicio;RP36 entre 196 y 197;R36/197y198;09229 [092 KAISER];Plan de Mantenimiento;Plan de telecomando;Verificar falla de comunicación;Excedida;Redes Subterráneas - Laboratorio;Luciano Biagiola;Lisandro Olmos;0;12:09:14;12:09:24;00:00:09;04:10:00;22:59:24.366;;;;;cerrada (hecha);Fuera de plazo;
MIéRCOLES;2023-01-04;07:30:00;14:15:00;OP-Guardia AT Dique;8;PI-2022-04532;966681;Permiso de trabajo en AT;Mantenimiento Correctivo;;Cno. Belgrano y 528;098-E-IN-SIA;[098 TOLOSA];Plan de Mantenimiento;Sem 01;Ensayo Int SI A;Cancelada;Transmisión;fernando nellen;Tolosa;0;;;;07:35:00;;;;;;cerrada, cancelada (Error de Operador);Circuito de aprobación normal;
MIéRCOLES;2023-01-04;08:00:00;11:00:00;GUARDIA ZONAL 2;9;PI-2023-00018;966408;Corte solicitado por tercero;Trabajo solicitado por usuario;;CEAMSE-Dg.74 7 Arroyo El Gato;300062 CEAMSE;09842 [098 TOLOSA];Solicitud Terceros;Ver nota adjunta;Ver nota adjunta;Normal;Comercial;Fernando Cabrera;Ensenada;1;08:16:35;11:30:27;03:13:52;04:15:00;00:00:00;08:16:35;11:30:12;03:13:37;Y;cerrada (hecha);Fuera de plazo;
MIéRCOLES;2023-01-04;08:00:00;14:00:00;;10;PI-2023-00021;;Permiso de trabajo en AT;Mantenimiento Preventivo;;Cno. Belgrano y 528;098-E-IN-SIA;[098 TOLOSA];Plan de Mantenimiento;Semana 1;SE Tolosa SI A: Mantenimiento. ;Normal;Transmisión;victor faes;;;;;;;;;;;;abierta, en definición (rechazada);Fuera de plazo;
