codigo_suministro,operacion_apertura,Horas Inter,ENS $,Mes
350211502,106824133,"14,42","2400502,93",4
351043001,106678586,"5,67","1579801,78",4
322456704,104716206,"316,71","1474381,23",4
361473801,106031574,"92,27","1064167,99",4
351206501,105303256,"2,15","389040,88",4
337009501,105312286,"11,07","304911,61",4
337013602,105126032,"11,14","303882,40",4
350211502,106509081,"1,29","214140,66",4
337016302,106277243,"4,95","162074,25",4
313011001,105658155,"11,90","64896,67",4
337017501,105008595,"2,04","64707,07",4
337047802,106430380,"2,02","50498,45",4
311174002,106341398,"25,25","48024,28",4
337020501,105469742,"1,13","44171,46",4
326738203,104821006,"2,89","42860,71",4
351871402,105219125,"6,31","36562,59",4
313011001,105613328,"6,58","35862,72",4
357668601,104834022,"7,16","34588,44",4
337081001,105952385,"4,84","25012,78",4
362369401,105865356,"0,71","24792,87",4
337202701,104826430,"2,35","22683,39",4
365728601,104771171,"298,41","21217,36",4
337051801,105013212,"0,73","20897,16",4
337003701,106416866,"3,50","20761,78",4
337261803,106661928,"3,54","20034,51",4
322452601,105957808,"113,30","19631,69",4
337202701,104762565,"1,90","18350,88",4
321460902,105867654,"7,26","18219,60",4
337202601,104827406,"2,00","17327,01",4
359977401,104826865,"2,29","16433,23",4
337306902,104789974,"300,20","16060,22",4
337154701,106112425,"12,25","15292,65",4
359337501,105076571,"202,94","15060,75",4
360638601,105222968,"0,90","14136,34",4
366899801,104857119,"242,45","13832,10",4
315612001,104716081,"316,69","13051,23",4
352135001,105843802,"8,37","12665,60",4
350788101,105162113,"2,15","12632,94",4
357050202,104996624,"4,46","12489,81",4
350562501,104839515,"244,84","11324,77",4
327819901,105166952,"114,23","9861,46",4
319401001,105220833,"119,37","8616,52",4
327824001,104730098,"312,17","8300,25",4
353748201,105061659,"206,14","8117,23",4
352148101,104765899,"1,44","7951,87",4
337313407,105433862,"3,69","7756,81",4
322471001,105078435,"202,35","7688,01",4
337313901,106047249,"3,44","7623,22",4
337240104,105217792,"2,39","7600,33",4
322469802,105074579,"203,37","7225,20",4
337250501,106275158,"1,54","7172,83",4
324694701,104761567,"57,97","6785,48",4
356102401,104790504,"282,94","6568,61",4
365845401,104713368,"0,26","6540,38",4
318473902,105867365,"7,35","6371,75",4
361742501,104741571,"86,55","6299,23",4
326660202,104971722,"228,25","6278,40",4
325055903,106421107,"6,48","6145,34",4
351473001,105735395,"1,42","6105,39",4
352121201,105425464,"5,50","6086,99",4
362337901,105700707,"4,07","6080,64",4
324368302,106599067,"308,28","5999,72",4
313309002,106423631,"1,50","5932,98",4
361105901,105415399,"0,63","5809,70",4
362626501,106002244,"7,62","5776,39",4
307964502,105040990,"2,26","5748,63",4
354408502,105070555,"204,25","5394,09",4
350306601,105987454,"126,58","5148,54",4
367482601,104731250,"311,60","5102,41",4
353903501,105160140,"171,57","5060,72",4
337152001,106845119,"2,35","5055,95",4
330779101,104787297,"300,63","4944,41",4
328941901,104788086,"291,47","4932,69",4
355181201,105155429,"174,37","4856,41",4
356357101,106464272,"5,96","4817,28",4
337306401,105763082,"1,86","4488,38",4
361502501,105157532,"119,10","4444,07",4
315176102,106481349,"12,96","4313,51",4
364991601,105629331,"34,17","4245,62",4
315891801,106189441,"2,15","4167,99",4
330778401,104790202,"300,06","4040,95",4
319179704,105775247,"2,73","4006,31",4
317718901,104951363,"43,96","4000,26",4
319400601,106139738,"69,31","3939,12",4
315599601,106016720,"94,42","3823,59",4
354282401,105280432,"105,40","3770,99",4
326192505,105465696,"3,29","3678,76",4
350788101,105559117,"0,62","3660,26",4
359869701,105074226,"203,46","3537,86",4
351946003,106288837,"27,44","3483,99",4
337173202,105516191,"1,48","3406,99",4
322524801,105864443,"4,27","3323,84",4
350943601,105961443,"2,71","3008,84",4
312967104,106179132,"9,10","2988,77",4
355749501,104741198,"308,29","2957,67",4
351777402,105385656,"2,61","2836,05",4
325647001,105371003,"25,86","2773,78",4
337260505,105875326,"3,22","2608,36",4
